prefix,year,month,sec_number,organization_id,client_po_num,order_date,target_completion_date,completion_date,date_entered
,21,10,37,38,010/FG/MAC/X/21,2021-10-07,2021-12-07,NULL,2023-02-14
,21,10,38,33,10/25/2021,2021-10-25,2021-10-28,NULL,2023-02-14
,21,10,39,39,Prolifix 01/2/2022,2021-10-22,2022-01-02,NULL,2023-02-14
,21,10,40,39,Prolifix 1/1/2022,2021-10-22,2022-01-02,NULL,2023-02-14
,21,10,41,39,Prolifix 2/1/2022,2021-10-22,2022-02-01,NULL,2023-02-14
,21,10,42,33,11/2/2021,2021-10-04,NULL,NULL,2023-02-14
,21,11,43,37,224-21,2021-10-04,NULL,NULL,2023-02-14
,21,11,44,37,225-21,2021-10-04,NULL,NULL,2023-02-14
,21,11,45,38,008/FG/SPI/XI/21,2021-11-01,NULL,NULL,2023-02-14
,21,11,46,33,11/8/2021,2021-11-08,2021-11-15,NULL,2023-02-14
,21,11,47,33,11/15/2021,2021-11-15,2021-11-22,NULL,2023-02-14
,21,11,48,33,11/18/2021,2021-11-18,2021-11-26,NULL,2023-02-14
,21,11,49,41,18,2021-08-26,2021-12-01,NULL,2023-02-14
,21,11,50,37,11/9/2021,2021-11-09,NULL,NULL,2023-02-14
,21,12,51,33,11/30/2021,2021-11-30,2021-12-04,NULL,2023-02-14
,21,12,52,35,110-121E,2021-11-01,NULL,NULL,2023-02-14
,21,12,53,35,111-821E,2021-11-18,NULL,NULL,2023-02-14
,21,12,54,35,120-121E,2021-12-01,NULL,NULL,2023-02-14
,21,12,55,33,12/6/2021,2021-12-06,2021-12-10,NULL,2023-02-14
,21,12,56,33,12/13/2021,2021-12-13,2021-12-17,NULL,2023-02-14
,21,12,57,38,12/FG/MOR/XI/21,2021-11-22,NULL,NULL,2023-02-14
,21,12,58,40,NULL,NULL,NULL,NULL,2023-02-14
,21,12,59,41,12/13/2021,2021-12-13,NULL,NULL,2023-02-14
,21,12,60,41,12/13/2021,2021-12-13,NULL,NULL,2023-02-14
,21,12,61,33,12/22/2021,2021-12-22,2021-12-27,NULL,2023-02-14
,21,12,62,38,020/FG/BSO/XI/21,2021-11-15,NULL,NULL,2023-02-14
,22,01,1,39,EUROPE ORDER,2021-12-08,NULL,NULL,2023-02-14
,22,01,2,33,1/7/2022,2022-01-07,2022-01-17,NULL,2023-02-14
,22,01,3,43,1122211,2021-11-22,2022-01-15,NULL,2023-02-14
,22,01,4,33,1/13/2021,2021-01-13,NULL,NULL,2023-02-14
,22,01,5,35,012-022E,2022-01-20,NULL,NULL,2023-02-14
,22,01,6,39,1/19/2022,2022-01-19,NULL,NULL,2023-02-14
,22,01,7,38,001/FG/CAMU/XI/21,2021-11-11,NULL,NULL,2023-02-14
,22,01,8,36,263-22,2021-12-26,NULL,NULL,2023-02-14
,22,01,9,33,1/26/2022,2022-01-26,2022-01-31,NULL,2023-02-14
,22,01,10,33,1/27/2022,2022-01-27,NULL,NULL,2023-02-14
,22,02,11,38,011/FG/MAC/I/22,2022-02-08,NULL,NULL,2023-02-14
,22,02,12,38,013/FG/WG/II/22,2022-02-08,NULL,NULL,2023-02-14
,22,02,13,33,02/08/2022,2022-02-08,2022-02-11,NULL,2023-02-14
,22,02,14,39,NULL,NULL,NULL,NULL,2023-02-14
,22,02,15,33,2/14/2022,2022-02-14,2022-02-21,NULL,2023-02-14
,22,02,16,45,1,2022-02-23,NULL,NULL,2023-02-14
,22,02,17,45,2,2022-02-28,NULL,NULL,2023-02-14
,22,03,18,33,1/3/2022,2022-01-03,2022-08-03,NULL,2023-02-14
,22,03,19,45,3,2022-08-09,NULL,NULL,2023-02-14
,22,03,20,33,3/18/2022,2022-03-18,2022-08-25,NULL,2023-02-14
,22,03,21,45,4,2022-03-23,NULL,NULL,2023-02-14
,22,04,22,46,18,2022-04-01,NULL,NULL,2023-02-14
,22,04,23,38,001/FG/PSMOS/I/22,2022-01-28,NULL,NULL,2023-02-14
,22,04,24,45,5,2022-04-18,NULL,NULL,2023-02-14
,22,04,25,38,021B/FG/BSO/IV/22,2022-04-13,NULL,NULL,2023-02-14
,22,05,26,35,297-22,NULL,NULL,NULL,2023-02-14
,22,05,27,35,291-21,NULL,NULL,NULL,2023-02-14
,22,05,28,38,001/FG/MM/V/22,2022-05-19,NULL,NULL,2023-02-14
,22,06,29,35,012-822E,2022-01-28,NULL,NULL,2023-02-14
,22,06,30,47,1,2022-04-07,NULL,NULL,2023-02-14
,22,06,31,47,2,2022-04-07,NULL,NULL,2023-02-14
,22,06,32,39,7/25/2022,2022-07-25,NULL,NULL,2023-02-14
,22,06,33,34,Email 3-31-2022,2022-03-31,NULL,NULL,2023-02-14
,22,06,34,39,6/23/2022,2022-06-23,NULL,NULL,2023-02-14
,22,06,35,41,3/14/2022,2022-03-14,NULL,NULL,2023-02-14
,22,06,36,45,5,2022-06-13,NULL,NULL,2023-02-14
,22,06,37,38,001/FG/MORC/VI/22,2022-06-02,NULL,NULL,2023-02-14
,22,06,38,38,13/FG/MOR/V/22,2022-05-25,NULL,NULL,2023-02-14
,22,06,39,38,14/FG/MOR/V/22,2022-05-27,NULL,NULL,2023-02-14
,22,06,40,38,009/FG/SPI/V/22,2022-05-26,NULL,NULL,2023-02-14
,22,06,41,46,6/30/2022,2022-06-30,NULL,NULL,2023-02-14
,22,06,42,45,6,2022-06-27,NULL,NULL,2023-02-14
,22,07,43,38,002/FG/CAMU/II/22,2022-02-28,NULL,NULL,2023-02-14
,22,07,44,45,7,2022-07-07,NULL,NULL,2023-02-14
,22,07,45,45,8,2022-07-14,NULL,NULL,2023-02-14
,22,07,46,45,9,2022-07-15,NULL,NULL,2023-02-14
,22,07,47,39,Email 06-29-2022,NULL,NULL,NULL,2023-02-14
,22,07,48,38,021A/FG/BSO/VII/22,2022-07-07,NULL,NULL,2023-02-14
,22,07,49,41,8/2/2022,2022-08-02,NULL,NULL,2023-02-14
,22,08,50,45,10,2022-08-08,NULL,NULL,2023-02-14
,22,08,51,35,063-022E,2022-06-30,NULL,NULL,2023-02-14
,22,08,52,45,11,2022-08-08,NULL,NULL,2023-02-14
,22,08,53,39,8/23/2022,2022-08-23,NULL,NULL,2023-02-14
,22,08,54,41,8/24/2022,2022-12-13,NULL,NULL,2023-02-14
,22,08,55,45,12,2022-08-26,NULL,NULL,2023-02-14
,22,08,56,39,Email 7/25/22,2022-07-25,NULL,NULL,2023-02-14
,22,09,57,38,002/FG/MORC/IX/22,2022-09-08,NULL,NULL,2023-02-14
,22,09,58,38,013A/FG/MOR/IX/22,2022-09-08,NULL,NULL,2023-02-14
,22,09,59,38,013B/FG/MOR/IX/22,2022-09-08,NULL,NULL,2023-02-14
,22,09,60,35,071-222E,2022-07-12,NULL,NULL,2023-02-14
,22,09,61,38,002/FG/PSMOS/IX/22,2022-09-09,NULL,NULL,2023-02-14
,22,09,62,45,13,2022-08-22,NULL,NULL,2023-02-14
,22,09,63,39,Email 08/28/2022,2022-08-28,NULL,NULL,2023-02-14
,22,09,64,45,14,2022-09-14,NULL,NULL,2023-02-14
,22,09,65,35,090-622E,2022-09-06,NULL,NULL,2023-02-14
,22,09,66,39,Email 8/26/2022,2022-08-26,NULL,NULL,2023-02-14
,22,10,67,38,001/FGRSPMOS/XI/22,2022-09-28,NULL,NULL,2023-02-14
,22,10,68,39,10/10/2022,2022-10-10,2023-01-16,NULL,2023-02-14
,22,10,69,39,10/10/2022,2022-10-10,2022-11-15,NULL,2023-02-14
,22,10,70,45,15,2022-09-20,NULL,NULL,2023-02-14
,22,10,71,41,Email 8/2/2022,2022-08-02,NULL,NULL,2023-02-14
,22,10,72,45,16,2022-10-26,NULL,NULL,2023-02-14
,22,11,73,45,17,2022-11-15,NULL,NULL,2023-02-14
,22,11,74,45,18,2022-10-27,NULL,NULL,2023-02-14
,22,11,75,38,022/FG/BSO/IX/22,2022-09-25,NULL,NULL,2023-02-14
,22,11,76,45,19,2022-11-18,NULL,NULL,2023-02-14
,22,11,77,41,Email 11/22/2022,2022-11-22,NULL,NULL,2023-02-14
,22,11,78,45,20,2022-11-28,NULL,NULL,2023-02-14
,22,11,79,38,003/FG/SVG/XI/22,2022-11-25,NULL,NULL,2023-02-14
,22,12,80,45,21,2022-12-02,NULL,NULL,2023-02-14
,22,12,81,39,12/13/2022 Email,2022-12-13,NULL,NULL,2023-02-14
,22,12,82,45,22,2022-12-20,NULL,NULL,2023-02-14
,22,12,83,45,23,2022-12-20,NULL,NULL,2023-02-14
,22,12,84,38,010/FG/SPI/XI/22,2022-11-30,NULL,NULL,2023-02-14
,22,12,85,35,120-722E,2022-12-07,NULL,NULL,2023-02-14
,23,01,1,36,1/3/2023,2023-01-03,NULL,NULL,2023-02-14
,23,01,2,38,001/FG/BSOC120/XII/22,2022-12-27,NULL,NULL,2023-02-14
,23,01,3,38,023/FG/BSO/23,2022-01-13,NULL,NULL,2023-02-14
,23,01,4,37,Email 1/21/2023,2023-01-21,NULL,NULL,2023-02-14
,23,01,5,35,012-323E,2023-01-23,NULL,NULL,2023-02-14
,23,02,6,38,002/FG/MMC/II/23,2023-02-07,NULL,NULL,2023-02-09
,23,02,7,38,011/FG/SPI/LL/23,2023-02-08,NULL,NULL,2023-02-09