name_id,component_id,component_name,primary_name
1,1,5 HTP,1
2,2,Acacia Fiber Gum Powder,1
3,3,Acai Juice,1
4,4,Acerola Cherry,1
5,5,Acerola Cherry 17%,1
6,6,Activated Barley,1
7,7,Activated Charcoal (Coconut Shell-FG),1
8,8,Agaricus Blazei,1
9,9,Alfalfa Juice,1
10,10,Alfalfa Juice 85% Maltodextrin 15%,1
11,11,Alfalfa Whole,1
12,12,Almond Flour,1
13,13,Aloe Vera Leaf,1
14,14,Alpha Lipoic Acid,1
15,15,Amaranth Sprout,1
16,16,Amla Berry,1
17,17,Andrographis,1
18,18,Apple Fiber-Pectin,1
19,19,Apple Fruit,1
20,20,Apple Peel,1
21,21,Arjuna Bark (Terminalia),1
22,22,Aronia (chokeberries),1
23,23,Artichoke Leaf,1
24,24,Arugula Leaf,1
25,25,Ascorbic Acid (vitamin C),1
26,26,Ascorbyl Palmitate,1
27,27,Ashwagandha,1
28,28,Ashwagandha,1
29,29,Asparagus,1
30,30,Astragalus Root,1
31,31,Bamboo,1
32,32,Bamboo Extract,1
33,33,Banana Peel,1
34,34,Baobab,1
35,35,Barberry,1
36,36,Barberry Root C/S,1
37,37,Barley Grass Juice,1
38,38,Barley Grass Whole,1
39,39,Bee Pollen,1
40,40,Beet Juice,1
41,41,Beet Root,1
42,42,Bentonite Clay,1
43,43,Berberis,1
44,44,Berry Flavor,1
45,45,Beta Carotene,1
46,46,Beta Carotene 10%,1
47,47,Beta Carotene 20%,1
48,48,Beta-Sitosterol,1
49,49,Bio-Fermented Brown Rice Protein,1
50,50,Bio-mineralyte,1
51,51,Biotin 1%,1
52,52,Black Cumin Seed,1
53,53,Black Currant,1
54,54,Black Fulvic Acid Liquid,1
55,55,Black Pepper Extract 95% Pipperine,1
56,56,Black Seed Oil,1
57,57,Black Walnut Hulls Powder,1
58,58,Blackberry,1
59,59,Bladderwrack,1
60,60,Blessed Thistle,1
61,61,Boron Amino Acid Acetate,1
62,62,Boron Chelate 5%,1
63,63,Boron Glycinate Malate 20%,1
64,64,Bosellia Serrata (B),1
65,65,Boswellia Ext 65%,1
66,66,Brazil Nut,1
67,67,Broccoli Juice,1
68,68,Broccoli Whole,1
69,69,Bromelain 2400 GDU/g,1
70,70,Brown Rice Protein,1
71,71,Buckthorn Bark C/S,1
72,72,Bupleurum,1
73,73,Burdock Root,1
74,74,Burdock Root 10:1,1
75,75,Burdock Root C/S,1
76,76,Butchers Broom,1
77,77,Butternut Bark,1
78,78,Cacao,1
79,79,Caffeine,1
80,80,Calcium Ascorbate,1
81,81,Calcium Bisglycinate Chelate,1
82,82,Calcium Carbonate,1
83,83,Calcium Citrate Malate,1
84,84,California Poppy Extract,1
85,85,Camu Camu,1
86,86,Cape Aloe,1
87,87,Carnosine,1
88,88,Carrot,1
89,89,Cascara Sagrada,1
90,90,Cascara Sagrada C/S,1
91,91,Cayenne,1
92,92,Ceylon Cinnamon,1
93,93,Chaga,1
94,94,Chamomile,1
95,95,Chanca Piedra,1
96,96,Chaste Berry,1
97,97,Chia Seed,1
98,98,Chickweed,1
99,99,Chicory Root,1
100,100,Chlorella,1
101,101,Chocolate Flavor,1
102,102,Chocolate Flavor 651202,1
103,103,Choline L Bitartrate,1
104,104,Chondroitin Sulfate,1
105,105,Chromium AAC 2.5%,1
106,106,Chromium Nicotinate (GTF),1
107,107,Chromium Picolinate,1
108,108,Cinnulin PF,1
109,109,Citric Acid,1
110,110,CLA TG 60%,1
111,111,Cloves Bud Powder,1
112,112,CO-Q-10,1
113,113,Cocoa Dutch,1
114,114,CocOganic,1
115,115,Coconut Milk,1
116,116,Coconut Water,1
117,117,Collagen,1
118,118,Copper Glycinate Chelate,1
119,119,Cordyceps,1
120,120,Corydalis Yanhusuo Ext,1
121,121,Cranberry Ext 15% PAC,1
122,122,Curcumin 90% (A),1
123,123,Curcumin Lecithin (B),1
124,124,D-Mannose,1
125,125,D-Ribose,1
126,126,D-Salina,1
127,127,Damiana Leaf,1
128,128,Dan Shen,1
129,129,Dandelion Leaf,1
130,130,Dandelion Leaf 4:1 Extract,1
131,131,Dandelion Root,1
132,132,Dandelion Root C/S,1
133,133,Dandelion Root Roasted,1
134,134,Date Sugar,1
135,135,Deer Antler Gelatin,1
136,136,Diatomaceous Earth,1
137,137,Diindolylmethane (DIM),1
138,138,DMAE Bitartrate,1
139,139,DMG,1
140,140,Dong Quai,1
141,141,Dulse,1
142,142,Dunelliala Salina Bld 7.5%,1
143,143,Durian (freeze dried),1
144,144,Erythritol,1
145,145,Fava Bean,1
146,146,Fennel Seed,1
147,147,Fenugreek,1
148,148,Fermented Barley,1
149,149,Fine Rice Powder,1
150,150,Flax Seed Meal,1
151,151,Fo-Ti Root,1
152,152,Folic Acid,1
153,153,Forskohlii (Coleus),1
154,154,FOS(Fructooligosaccharides),1
155,155,Freeze Dried Kakadu Plum Gubinge,1
156,156,Fulvic Acid (GTX GOLD-L),1
157,157,Fulvic Powder,1
158,158,Gamma Aminobuturic Acid (GABA),1
159,159,Garcinia P.E. 50%,1
160,160,Garlic,1
161,161,Geranium,1
162,162,Ginger Root,1
163,163,Ginkgo Leaf,1
164,164,Glucomannan,1
165,165,Glucomannan 70%,1
166,166,Glucosamine,1
167,167,Glucosamine Hydrochloride,1
168,168,Glucosamine Sulfate,1
169,169,Glycine,1
170,170,Goats Rue,1
171,171,Goji,1
172,172,Gotu Kola,1
173,173,GPC Greens,1
174,174,GPC Super Plant Protein,1
175,175,GPC Vitamin C,1
176,176,Grape Juice Powder,1
177,177,Grapefruit,1
178,178,Grapeseed Extract,1
179,179,Graviola Leaf,1
180,180,Green Apple Flavor,1
181,181,Green Tea,1
182,182,Guar Gum,1
183,183,Guava,1
184,184,Gymnema Sylvestre,1
185,185,Hawthorne Berry,1
186,186,Hemp Protein,1
187,187,Hibiscus 4:1 Extract,1
188,188,Hibiscus Flower,1
189,189,Holy Basil,1
190,190,Hops Flower,1
191,191,Horny Goat Weed,1
192,192,Hu Zhang,1
193,193,Humalite,1
194,194,Hydrangea,1
195,195,ID-ALG,1
196,196,Inositol NF,1
197,197,Iodide Trituration (I 1%),1
198,198,Irish Moss,1
199,199,Irish Moss (Maju),1
200,200,Iron Ferrochel,1
201,201,Iron Glycinate,1
202,202,Jiao Gu Lan,1
203,203,Juniper Berry,1
204,204,K2 Vital,1
205,205,Kakadu 4:1 Ext,1
206,206,Kakadu Gubinge,1
207,207,Kale,1
208,208,KAMUT Wheatgrass Juice,1
209,209,Kelp,1
210,210,Kiwi Flavor,1
211,211,Kudzu Root,1
212,212,L-Arginine,1
213,213,L-Arginine HCL,1
214,214,L-Carnitine,1
215,215,L-Carnosine,1
216,216,L-Citrulline,1
217,217,L-Cystine,1
218,218,L-Cytenine,1
219,219,L-Glutamine,1
220,220,L-Leucine,1
221,221,L-Lutein 5%,1
222,222,L-Lysine Mono HCL,1
223,223,L-Methionine,1
224,224,L-Ornithine,1
225,225,L-Ornithine HCL,1
226,226,L-Phenylalenine,1
227,227,L-Taurine,1
228,228,L-Theanine,1
229,229,L-Tyrosine,1
230,230,L. Acidophilus,1
231,231,Lakanto Golden Monk Fruit Sweetener,1
232,232,Lalmin B Complex,1
233,233,Lalmin Vita D Yeast,1
234,234,Lecithin,1
235,235,Lemon Flavor,1
236,236,Lemon Peel,1
237,237,Lemon Peel C/S,1
238,238,Lentil Flour,1
239,239,Licorice Root,1
240,240,Licorice Root C/S,1
241,241,Lime Flavor,1
242,242,Lions Mane,1
243,243,Lipase,1
244,244,Lupini Bean,1
245,245,Lycopene 5%,1
246,246,Lycopene Beadlets,1
247,247,Lycopene Beadlets 10%,1
248,248,Maca Gelatinized,1
249,249,Maca Red,1
250,250,Maca Root,1
251,251,Maca Root (Maju),1
252,252,Maca Root 60%,1
253,253,Maca Root Black,1
254,254,Maca Root Red,1
255,255,Magnesium Bisglycinate,1
256,256,Magnesium Bisglycinate Chelate 18%,1
257,257,Magnesium Caprylate,1
258,258,Magnesium Glycinate (Mg 11.7%),1
259,259,Magnesium Hydroxide,1
260,260,Magnesium Malate (Blend Mg Mal 3:Malic Acid 1),1
261,261,Magnesium Malate 15% Mg (does not need to be blended),1
262,262,Magnesium Stearate,1
263,263,Magnolia Bark,1
264,264,Maitake,1
265,265,Makwood Probiotic Mix,1
266,266,Malic Acid,1
267,267,Maltodextrin,1
268,268,Manganese Glycinate Chelate,1
269,269,Marshmallow Root,1
270,270,Matcha,1
271,271,MCT,1
272,272,Methylcobalamin,1
273,273,Microbes (Advanced),1
274,274,Microbes (Origional),1
275,275,Mocha Flavor,1
276,276,Molybdenum AAC 0.1%,1
277,277,Monk Fruit 25%,1
278,278,Monk Fruit 50%,1
279,279,Monk Fruit 7%,1
280,280,Monk Fruit Extract,1
281,281,Moringa Leaf,1
282,282,Moringa Leaf (Maju),1
283,283,MSM 20-40 Mesh,1
284,284,MSM-80 Mesh,1
285,285,Mucuna Pruriens,1
286,286,Muira Puama,1
287,287,N-Acetyl-L-Cysteine,1
288,288,Natural Bitter Blocker,1
289,289,Nettle Leaf,1
290,290,Nettle Root,1
291,291,Nettle Root Ext.,1
292,292,Nopal Cactus,1
293,293,Nutritional Yeast,1
294,294,Oatgrass Juice,1
295,295,Oatgrass Whole,1
296,296,Olive Leaf C/S,1
297,297,Olive Leaf Ext 20% A,1
298,298,Olive Leaf Ext 20% B,1
299,299,Omega-3 Fatty Acid,1
300,300,Omya Cal Fg-15 Calcium Carbonate,1
301,301,Orange Juice Flavor,1
302,302,Orange Peel,1
303,303,Orgen HIM,1
304,304,Orgen-FA (Folic Acid),1
305,305,Oyster Mushroom Ext 1:1,1
306,306,Papain,1
307,307,Papaya Fruit,1
308,308,Papaya Juice,1
309,309,Papaya Whole,1
310,310,Parsley Leaf,1
311,311,Passion Flower,1
312,312,Passion Flower Ext 3.5%,1
313,313,PEA (palmitoylethanolamide),1
314,314,Pea Fiber,1
315,315,Pea Protein,1
316,316,Pea Protein Isolate,1
317,317,Peppermint Flavor,1
318,318,Peppermint Leaf,1
319,319,Periwinkle Leaf,1
320,320,Phytic Acid,1
321,321,Phytosterols (Phytopin),1
322,322,Pina Colada Flavor,1
323,323,Pine Needle Powder (Markus owned),1
324,324,Pine Nut,1
325,325,Pine Nuts Medium,1
326,326,Pine Phytosterols,1
327,327,Pine Pollen,1
328,328,Pine Pollen 10:1,1
329,329,Pineapple Flavor,1
330,330,Pixie Herbal Blend,1
331,331,Plantain Leaf,1
332,332,Pomegranate Seed&Fruit,1
333,333,Potassium Citrate,1
334,334,Potassium Gluconate,1
335,335,Potassium Glycinate Complex,1
336,336,Prickly Pear Fruit,1
337,337,Probiotic Blend (Paracasei 5B/Plantarum 5B/Longum 5B/Reuteri 5B),1
338,338,PRVNT Probiotics Mix,1
339,339,Pumpkin Seed Ext 20:1,1
340,340,Pumpkin Seed Protein,1
341,341,Purslane,1
342,342,Quassia Wood - Bark,1
343,343,Quercitin,1
344,344,Quercitin B,1
345,345,Quercitin Dihydrate,1
346,346,Quinoa,1
347,347,R-Lipoic Acid,1
348,348,Red Clover,1
349,349,Red Clover C/S,1
350,350,Red Raspberry Leaf,1
351,351,Rehmannia,1
352,352,Reishi,1
353,353,Resveratrol,1
354,354,Resveratrol 98%,1
355,355,Rhodiola Root,1
356,356,Rhubarb Root,1
357,357,Rice Bran,1
358,358,Rice Maltodextrin,1
359,359,RiFiber,1
360,360,Rose Hips,1
361,361,Rosemary,1
362,362,Royal Jelly,1
363,363,Rutin,1
364,364,SAMe Tosylate Disulfate,1
365,365,Sarsaparilla,1
366,366,Saw Palmetto,1
367,367,Saw Palmetto Ext.,1
368,368,Schisandra Berry,1
369,369,Sea Buckthorn Berry,1
370,370,Sea Salt,1
371,371,Selenium Select,1
372,372,Seleno Yeast,1
373,373,Senna Leaf,1
374,374,Serrapeptase,1
375,375,Shiitake,1
376,376,Shilajit,1
377,377,Siberian Eleuthero Root,1
378,378,Silica (Silicon dioxide),1
379,379,Slippery Elm,1
380,380,Sodium Hyaluronate,1
381,381,Sodium Iodide,1
382,382,Spearmint Flavor,1
383,383,Spinach,1
384,384,Spirulina,1
385,385,Spirulina (Maju Owned),1
386,386,Spirulina (MAJU Owned),1
387,387,St John's Wart,1
388,388,Stevia Leaf Powder,1
389,389,Stone Root,1
390,390,Suma Root,1
391,391,Sunflower Lecithin,1
392,392,Sunflower Lecithin non-GMO,1
393,393,Super 15 SBO,1
394,394,Superoxide Dismutase,1
395,395,Tapioca Starch,1
396,396,Taurine,1
397,397,TMG Betaine Anhydrous,1
398,398,Tongkat Ali,1
399,399,Tremella Mushroom Ext 1:1,1
400,400,Tribulus Terestris,1
401,401,Tropical Punch Flavor,1
402,402,Tumeric Root,1
403,403,Turkey Tail Mushroom,1
404,404,Uva Ursi,1
405,405,Valerian Root Ext 0.8%,1
406,406,Vanadium Chelate 1%,1
407,407,Vanilla Extract,1
408,408,Vanilla Flavor,1
409,409,Vanilla Flavor 326913,1
410,410,Vegatex,1
411,411,Vitamin A Palmitate,1
412,412,Vitamin B1 (Thiamin),1
413,413,Vitamin B12 (Methylcobalamin 1%),1
414,414,Vitamin B2 (Riboflavin),1
415,415,Vitamin B3 (Niacin),1
416,416,Vitamin B5,1
417,417,Vitamin B5 (D-Calcium Pantothenate),1
418,418,Vitamin B6,1
419,419,Vitamin B6 P5P,1
420,420,Vitamin B9 (L-Methylfolate Calcium),1
421,421,Vitamin D(Cholecalciferol),1
422,422,Vitamin D3,1
423,423,Vitamin E,1
424,424,Vitamin E (D-a-tocpheryl),1
425,425,Vitamin E Succinate,1
426,426,Vitamin K2-7 0.2% Menoquione,1
427,427,Watercress,1
428,428,Wheatgrass Juice,1
429,429,Wheatgrass Whole,1
430,430,Whey Protein 90%,1
431,431,White Kidney Bean,1
432,432,White Oak Bark,1
433,433,White Pine Bark,1
434,434,Wild Lettuce,1
435,435,Wild Lettuce Extract,1
436,436,Wild Yam Root,1
437,437,Willow Bark Ext 25%,1
438,438,Witch Hazel Bark,1
439,439,Wormwood,1
440,440,Xanthan Gum,1
441,441,Yellowdock,1
442,442,Yerba Mate,1
443,443,Yohimbe Bark Ext 1%,1
444,444,Yucca Root,1
445,445,Zinc Aspartate,1
446,446,Zinc Bisglycinate Chelate,1
447,447,Zinc Citrate,1
448,448,Zinc Gluconate Dihydrate,1
449,449,Zinc Picolinate,1