process_id,process_name,process_sop_id,doc,date_entered,date_modified
1,batch,NULL,"{""_id"":1, ""template"":{""process_name"": ""batch"",""start_datetime"": """",""end_datetime"": """",""end_reason"": """",""duration"": """",""user_ids"": [],""batch_target_kilos"":"""",""batch_upper_tolerance"":"""",""batch_lower_tolerance"":"""",""batch_actual_kilos"":"""",""difference_kilos"":"""",""percent_difference"":"""",""batched_overage_kilos"": """",""batched_overage_percent"": """",""float_of_barrels"":"""",""barrel_breakdown"":[]}}",2023-02-24,NULL
2,screen,NULL,"{""_id"":2, ""template"":{""process_name"": ""screen"",""start_datetime"": """",""end_datetime"": """",""end_reason"": """",""duration"": """",""user_ids"": [],""mesh_size"":"""",""starting_kilos"":"""", ""screen_upper_tolerance"":"""",""screen_lower_tolerance"":"""", ""screen_actual_kilos"":"""",""difference_kilos"":"""",""percent_difference"":"""",""float_of_barrels"":"""",""barrel_breakdown"":[]}}",2023-02-24,NULL
3,blend,NULL,"{""_id"":3, ""template"":{""process_name"": ""blend"",""start_datetime"": """",""end_datetime"": """",""end_reason"": """",""duration"": """",""user_ids"": [],""blend_durration"":""00:20:00"",""starting_kilos"":"""", ""blend_upper_tolerance"":"""",""blend_lower_tolerance"":"""", ""blend_actual_kilos"":"""",""difference_kilos"":"""",""percent_difference"":"""",""float_of_barrels"":"""",""barrel_breakdown"":[]}}",2023-02-24,NULL
4,auto_encapsulation,NULL,"{""_id"":4, ""template"":{""process_name"": ""auto_encapsulation"",""start_datetime"": """",""end_datetime"": """",""end_reason"": """",""duration"": """",""user_ids"": [],""capsule_size"": """",""target_ten_caps_grams"": """",""target_min_grams"": """",""target_max_grams"": """",""target_standard_deviation"": """",""actual_ten_caps_grams"": """",""actual_min_grams"": """",""actual_max_grams"": """",""actual_standard_deviation"":"""",""machine_speed"": """",""encapsulation_target_kilos"": """",""encapsulation_actual_kilos"":"""",""difference_kilos"":"""",""percent_difference"":"""",""float_of_barrels"":"""",""barrel_breakdown"":[]}}",2023-02-24,NULL
5,semi_auto_encapsulation,NULL,"{""_id"":5, ""template"":{""process_name"": ""semi_auto_encapsulation"",""start_datetime"": """",""end_datetime"": """",""end_reason"": """",""duration"": """",""user_ids"": [],""capsule_size"": """",""ring_count"": """",""target_ten_caps_grams"": """",""target_min_grams"": """",""target_max_grams"": """",""target_standard_deviation"":"""",""actual_ten_caps_grams"":"""",""actual_min_grams"": """",""actual_max_grams"": """",""actual_standard_deviation"": """",""machine_speed"": """",""encapsulation_target_kilos"": """",""encapsulation_actual_kilos"": """",""difference_kilos"": """",""percent_difference"": """",""float_of_barrels"": """",""barrel_breakdown"": []}}",2023-02-24,NULL
6,polish,NULL,"{""_id"":6, ""template"":{""process_name"": ""polish"",""start_datetime"": """",""end_datetime"": """",""end_reason"": """",""duration"": """",""user_ids"": [],""polish_target_kilos"": """",""polish_actual_kilos"":"""",""difference_kilos"": """",""percent_difference"": """",""float_of_barrels"": """",""barrel_breakdown"": []}}",2023-02-24,NULL
7,capsule_sort,NULL,"{""_id"":7, ""template"":{""process_name"": ""capsule_sort"",""start_datetime"": """",""end_datetime"": """",""end_reason"": """",""duration"": """",""user_ids"": [],""grind_target_kilos"": """",""grind_actual_kilos"":"""",""difference_kilos"": """",""percent_difference"": """",""float_of_barrels"": """",""barrel_breakdown"": []}}",2023-02-24,NULL
8,grind,NULL,"{""_id"":8, ""template"":{""process_name"": ""grind"",""start_datetime"": """",""end_datetime"": """",""end_reason"": """",""duration"": """",""user_ids"": [],""sort_target_kilos"": """",""sort_actual_kilos"":"""",""difference_kilos"": """",""percent_difference"": """",""float_of_barrels"": """",""barrel_breakdown"": []}}",2023-02-24,NULL
9,powder_fill_pouch,NULL,"{""_id"":9, ""template"":{""process_name"": ""powder_fill_pouch"",""start_datetime"": """",""end_datetime"": """",""end_reason"": """",""duration"": """",""user_ids"": [],""pouch_id"": """",""scoop_id"": """",""dessicant_id"": """",""kilos_filled"": """",""target_fill_grams"": """",""target_min_grams"": """",""target_max_grams"": """",""sample_average_grams"": """",""target_units_filled"":"""" , ""units_filled_upper_tolerance"":"""",""units_filled_lower_tolerance"":"""" ,""units_filled"": """"}}",2023-02-24,NULL
10,powder_fill_jar,NULL,"{""_id"":10, ""template"":{""process_name"": ""powder_fill_jar"",""start_datetime"": """",""end_datetime"": """",""end_reason"": """",""duration"": """",""user_ids"": [],""container_id"": """",""lid_id"": """",""scoop_id"": """",""dessicant_id"": """",""kilos_filled"": """",""target_fill_grams"": """",""target_min_grams"": """",""target_max_grams"": """",""sample_average_grams"":"""",""target_units_filled"":"""",""units_filled_upper_tolerance"":"""",""units_filled_lower_tolerance"":"""",""units_filled"": """"}}",2023-02-24,NULL
11,powder_fill_bulk,NULL,"{""_id"":11, ""template"":{""process_name"": ""powder_fill_bulk"",""start_datetime"": """",""end_datetime"": """",""end_reason"": """",""duration"": """",""user_ids"": [], ""kilos_filled"": """",""barrels_filled"": """",""barrel_breakdown"":[]}}",2023-02-24,NULL
13,liquid_fill,NULL,"{""_id"":12, ""template"":{""process_name"": ""liquid_fill"",""start_datetime"": """",""end_datetime"": """",""end_reason"": """",""duration"": """",""user_ids"": [],""container_id"": """",""lid_id"": """",""stopper_id"": """",""liters_filled"": """",""kilos_filled"": """",""target_fill_ml"": """",""target_min_ml"": """",""target_max_ml"": """",""sample_average_ml"": """", ""target_units_filled"":"""", ""units_filled_upper_tolerance"":"""",""units_filled_lower_tolerance"":"""", ""units_filled"":""""}}",2023-02-24,NULL
14,capsule_fill,NULL,"{""_id"":13, ""template"":{""process_name"": ""capsule_fill"",""start_datetime"": """",""end_datetime"": """",""end_reason"": """",""duration"": """",""user_ids"": [],""container_id"": """",""lid_id"":"""",""cotton_ball_id"": """",""cotton_ball_count"": """",""dessicant_id"": """",""kilos_filled"": """",""unit_capsule_count"": """",""target_units_filled"":"""",""units_filled_upper_tolerance"":"""",""units_filled_lower_tolerance"":"""",""units_filled"": """"}}",2023-02-24,NULL
12,shrink_band,NULL,"{""_id"":14, ""template"":{""process_name"": ""shrink_band"",""start_datetime"": """",""end_datetime"": """",""end_reason"": """",""duration"": """",""user_ids"": [],""shrink_band_id"": """",""total_units_shrink_banded"": """"}}",2023-02-24,NULL
15,label,NULL,"{""_id"":15, ""template"":{""process_name"": ""label"",""start_datetime"": """",""end_datetime"": """",""end_reason"": """",""duration"": """",""user_ids"": [],""label_id"": """",""sticker_id"": """",""exp_date"": """",""best_by_date"": """",""lot_date_placement"": """",""labels_pulled_from_inventory"": """",""labels_used"": """",""labels_returned"": """",""labels_destroyed"": """"}}",2023-02-24,NULL
16,package,NULL,"{""_id"":16, ""template"":{""process_name"": ""package"",""start_datetime"": """",""end_datetime"": """",""end_reason"": """",""duration"": """",""user_ids"": [],""individual_packaging_components"": []}}",2023-02-24,NULL
17,palletize,NULL,"{""_id"":17, ""template"":{""process_name"": ""palletize"",""start_datetime"": """",""end_datetime"": """",""end_reason"": """",""duration"": """",""user_ids"": [],""shipping_stickers"": 0,""box_id"": """",""new_box"": 1,""used_box"": 0,""pack_count"": """",""pallet_height"": """",""boxes_per_pallet"": """"}}",2023-02-24,NULL